scrape_ts_utc,status,n_locations,n_changes,max_fetch_time,error
2026-09-23T09:30:12Z,ok,301,301,1790155760,
2026-09-23T13:51:09Z,ok,301,219,1790171442,
2026-09-23T14:20:54Z,ok,301,166,1790173216,
2026-09-23T18:27:09Z,ok,301,246,1790187983,
2026-09-23T21:39:52Z,ok,301,186,1790199569,
2026-09-23T23:57:20Z,ok,301,135,1790207826,
2026-09-24T03:29:06Z,ok,301,87,1790220523,
2026-09-24T08:41:52Z,ok,301,255,1790239257,
2026-09-24T09:30:45Z,ok,301,118,1790242196,
2026-09-24T10:22:09Z,ok,301,117,1790245299,
2026-09-24T10:32:39Z,ok,301,73,1790245908,
2026-09-24T10:35:25Z,ok,301,45,1790246074,
2026-09-24T10:40:36Z,ok,301,52,1790246407,
2026-09-24T10:45:30Z,ok,301,52,1790246684,
2026-09-24T10:50:35Z,ok,301,50,1790247017,
2026-09-24T10:55:22Z,ok,301,44,1790247294,
2026-09-24T11:00:51Z,ok,301,47,1790247627,
2026-09-24T11:05:26Z,ok,301,43,1790247904,
2026-09-24T11:10:33Z,ok,301,39,1790248181,
2026-09-24T11:15:32Z,ok,301,61,1790248513,
2026-09-24T11:20:37Z,ok,301,36,1790248791,
2026-09-24T11:25:25Z,ok,301,45,1790249123,
2026-09-24T11:30:46Z,ok,301,48,1790249400,
2026-09-24T11:35:26Z,ok,301,37,1790249677,
2026-09-24T11:40:36Z,ok,301,42,1790250010,
2026-09-24T11:45:37Z,ok,301,66,1790250287,
2026-09-24T11:50:37Z,ok,301,37,1790250619,
2026-09-24T11:55:24Z,ok,301,35,1790250897,
2026-09-24T12:00:52Z,ok,301,51,1790251229,
2026-09-24T12:05:27Z,ok,301,41,1790251506,
2026-09-24T12:10:32Z,ok,301,43,1790251783,
2026-09-24T12:15:30Z,ok,301,56,1790252116,
2026-09-24T12:20:35Z,ok,301,36,1790252393,
