location_code,station_code,name,city,lat,lng,service_type,type
gdm001,GDM,GDM - OV-fiets - Geldermalsen,Gelderrmalsen,51.881767,5.270973,,OV_FIETS
gerp002,GERP,GERP - OV-fiets - Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,Groningen,53.20479,6.58617,Bemenst,OV_FIETS
gn001,GN,GN - OV-fiets - Groningen,Groningen,53.21155,6.5665,Bemenst,OV_FIETS
gn004,GN,GN - OV-ebike - Groningen,Groningen,53.21155,6.5666,Bemenst,OV_FIETS
Gnn001,GNN,GNN - OV-fiets - Groningen Noord,Groningen,53.230122,6.556761,,OV_FIETS
go001,GO,GO - OV-fiets - Goor,Goor,52.23042,6.583929,,OV_FIETS
Gp001,GP,GP - OV-fiets - Geldrop ,Geldrop,51.420056,5.550968,,OV_FIETS
gr001,GR,GR - OV-fiets - Gorinchem,Gorinchem,51.833437,4.966969,,OV_FIETS
GR002 ,BSLC,GR - OV-fiets - Sleeuwijk Tol West,,51.80099,4.930693,,OV_FIETS
gs003,GS,GS - OV-fiets - Goes,Goes,51.49874,3.88823,,OV_FIETS
gv001,GV,GV - OV-fiets - Den Haag HS,'s-Gravenhage,52.069582,4.320696,,OV_FIETS
gvc021,GVC,GVC - OV-fiets - Den Haag Centraal KJ Plein,Den Haag,52.08129,4.323001,Bemenst,OV_FIETS
gvc901,BSLC,GVC - OV-fiets - Nootdorp,Nootdorp,52.04758,4.415059,,OV_FIETS
gvm001,GVM,GVM - OV-fiets - Den Haag Mariahoeve,'s-Gravenhage,52.090284,4.3694,,OV_FIETS
gz001,GZ,GZ - OV-fiets - Gilze Rijen,Rijen,51.584055,4.924392,,OV_FIETS
had003,HAD,HAD - OV-fiets - Heemstede-Aerdenhout,Heemstede,52.35899,4.60547,,OV_FIETS
hd001,HD,HD - OV-fiets - Harderwijk,Harderwijk,52.3377,5.619034,Bemenst,OV_FIETS
hdb001,HDB,HDB - OV-fiets - Hardenberg,Hardenberg,52.57583,6.621944,,OV_FIETS
Hde001,HDE,HDE - OV-fiets - 't Harde,'t Harde,52.408791,5.89185,,OV_FIETS
hdr002,HDR,HDR - OV-fiets - Den Helder,Den Helder,52.95674,4.76071,,OV_FIETS
hdrz001,HDRZ,HDRZ - OV-fiets - Den Helder Zuid,Den Helder,52.932506,4.764533,,OV_FIETS
hfd002,HFD,HFD - OV-fiets - Hoofddorp,Hoofddorp,52.2933,4.69816,,OV_FIETS
hgl002,HGL,HGL - OV-fiets - Hengelo,Hengelo,52.26239,6.7936,,OV_FIETS
hglg001,HGLG,HGLG - OV-fiets - Hengelo Gezondheidspark,Hengelo,52.261809,6.768326,,OV_FIETS
hgv003,HGV,HGV - OV-fiets - Hoogeveen,Hoogeveen,52.73309,6.47358,,OV_FIETS
Hgz001,HGZ,HGZ - OV-fiets - Hoogezand Sappemeer,Hoogezand,53.159868,6.770894,,OV_FIETS
hil001,HIL,HIL - OV-fiets - Hillegom,Hillegom,52.302857,4.566106,,OV_FIETS
hk001,HK,HK - OV-fiets - Heemskerk,Heemskerk,52.494358,4.685522,,OV_FIETS
hks001,HKS,HKS - OV-fiets - Hoogkarspel,Hoogkarspel,52.690376,5.182278,,OV_FIETS
hlm002,HLM,HLM - OV-fiets - Haarlem,Haarlem,52.38763,4.63832,Bemenst,OV_FIETS
hlms001,HLMS,HLMS - OV-fiets - Haarlem Spaarnwoude,Haarlem,52.38213,4.670836,,OV_FIETS
hlo001,HLO,HLO - OV-fiets - Heiloo,Heiloo,52.600105,4.700795,,OV_FIETS
hm001,HM,HM - OV-fiets - Helmond,Helmond,51.4761,5.661,OV-fietspunt,OV_FIETS
hmbh001,HMBH,HMBH - OV-fiets - Helmond Brouwhuis,Helmond,51.47072,5.701876,,OV_FIETS
hmbv001,HMBV,HMBV - OV-fiets - Helmond Brandevoort,Helmond,51.46274,5.60881,,OV_FIETS
hmh001,HMH,HMH - OV-fiets - Helmond 't Hout,Helmond,51.468092,5.630949,,OV_FIETS
hn001,HN,HN - OV-fiets - Hoorn,Hoorn,52.64469,5.05501,Bemenst,OV_FIETS
hnk001,HNK,HNK - OV-fiets - Hoorn Kersenboogerd,Hoorn,52.653593,5.085789,,OV_FIETS
hon001,HON,HON - OV-fiets - Holten,Holten,52.283957,6.420916,,OV_FIETS
hor001,HOR,HOR - OV-fiets - Hollandse Rading OV-fiets Carrousel,Hollandsche Rading,52.17815,5.17915,,OV_FIETS
hr002,HR,HR - OV-fiets - Heerenveen,Heerenveen,52.96098,5.91617,,OV_FIETS
hrl002,HRL,HRL - OV-fiets - Heerlen,Heerlen,50.890641,5.973457,,OV_FIETS
HRN002,HRN,HRN - OV-fiets - Haren,Haren,53.175165,6.617819,,OV_FIETS
hrt001,HRT,HRT - OV-fiets - Horst Sevenum,Sevenum,51.4276,6.0408,,OV_FIETS
ht001,HT,HT - OV-fiets - s-Hertogenbosch,'s-Hertogenbosch,51.690526,5.295283,Bemenst,OV_FIETS
ht002,BSLC,HT - OV-fiets - Waalwijk,Waalwijk,51.686951,5.071715,,OV_FIETS
htn001,HTN,HTN - OV-fiets - Houten,Houten,52.03487,5.16663,Bemenst,OV_FIETS
htnc001,HTNC,HTNC - OV-fiets - Houten Castellum,Houten,52.01759,5.18015,Bemenst,OV_FIETS
Hto001,HTO,HT - OV-fiets - 's-Hertogenbosch Oost,'s-Hertogenbosch,51.700711,5.318865,,OV_FIETS
hvs001,HVS,HVS - OV-fiets - Hilversum,Hilversum,52.22626,5.18076,Bemenst,OV_FIETS
